nome;contato;responsavel;valor;data_inicio;rede_social;origem;indicado_por;setor_indicado;plano;pipeline;observacoes
CONSTRULAR;64993131226;;;2024-08-15;Field Sales;Organico;;;Plano Empresarial;Fechado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: Carolina RH | Detalhes: Fechado no mês Setembro, 32 contratos empresariais, destes 27 novos. | Status 1: Apresentado o Plano para os colaboradores nas 2 Lojas e no CD, estamos aguardando o levantamento da empresa, de quais os colaboradores vão aderir ao plano. | Status final: FECHADO
AUTO PEÇAS PILOTO;64999754556;;;2024-08-27;Field Sales;Organico;;;Plano Empresarial;Fechado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: FRANCIELLY | Detalhes: Apresentamos o plano para o RH, ficou muito interessado no plano, estamos aguardando para apresentar para os proprietários Diretores. | Status 1: Apresentado o Plano na empresa para Francielly responsável pelo RH. Ficou marcado para apresentar para Direção | Status final: FECHADO
ARTE PÃO;6436232170;;;2024-08-08;CDL;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: CDL | Cidade: RIO VERDE | Contato pessoa: Laura | Detalhes: Apresentar no dia 12.08/ Tentamos retorno nos dias 20/08 e 05/09, ela não atende e não responde as mensagens. | Status 1: Apresentamos o Plano para Laura, ela ficou de falar com a equipe dela para verificar quem tem interesse no plano, estamos aguardando o contato dela.
Motel Alvorada;64993072679;;;2024-08-02;Field Sales;Organico;;;Plano Empresarial;Cancelado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: RODRIGO SIMOES JUNIOR | Detalhes: Visita no cliente, apresentei o plano empresarial apesar dele já ser conveniado, a principio ficou interessado, porém deixou de atender as ligações e responder as mensagens. | Status 1: Fizemos reunião com o Rodrigo, proprietário do Motel Alvorada, apresentamos o plano empresarial e enviamos proposta para ele incluir mais 15 contratos no plano dele, estamos esperando resposta. | Status final: NÃO TEM INTERESSE
KAMILA VANESSA;64999571378;;;2024-09-05;SUDOEXPO;Organico;;;Plano Empresarial;Cancelado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção SUDOEXPO | Cidade: RIO VERDE | Contato pessoa: Kamila vanessa | Detalhes: Segundo informações da Kamila RH, a Diretoria barrou a proposta de implantação do beneficios para os colaboradores, peguei o contato do Diretor para ver se conseguimos reverter a situação, empresa tem mais de 200 colaboradores. | Status 1: Entrado em contato com a cliente, via mensagem de prospecção da lista da SUDOEXPO. Marcando com a cliente para apresentar o plano para ela.
New Leader;64999898056;;;2024-09-05;SUDOEXPO;Organico;;;Plano Empresarial;Cancelado;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção Lista SUDOEXPO | Cidade: RIO VERDE | Contato pessoa: Irene Vilela | Detalhes: Não tem interesse neste momento. | Status 1: Cliente solicitou apresentação do Plano Empresarial, foi enviado e solicitei que agenda deles para apresentar pessoalmente.
Comercial Campeão;6436110320;;;2024-09-16;Field Sales;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: Maristela / Vaulim | Detalhes: Não demonstra interesse | Status 1: Entramos em contato com o RH Maristela, porém estamos com dificuldade, porque ela não responde as mensagens, vamos continuar tentando.
Mastercraft;64996469696;;;2024-09-13;SUDOEXPO;Organico;;;Plano Empresarial;Em Contato;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção na SUDOEXPO | Cidade: RIO VERDE | Contato pessoa: Ricardo - Gerente de Operações | Detalhes: Não respondeu mais as mensagens | Status 1: Apresentado o Plano para o Ricardo na SUDOEXPO, ficou muito interessado e pediu para enviar a apresentação.
Hospital do Cancer;64999877108;;;2024-09-13;SUDOEXPO;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção na SUDOEXPO | Cidade: RIO VERDE | Contato pessoa: Heloisa - Diretora | Detalhes: Apresentou a proposta na reunião da Diretoria, porém eles disseram que vão priorizar outros assuntos neste momento. | Status 1: Apresentado o Plano para Heloisa na SUDOEXPO, ficou muito interessado e pediu para enviar a apresentação.
Colégio Athos;64992025471;;;2024-08-20;Field Sales;Organico;;;Plano Empresarial;Proposta;Origem: Controle de CRM 2026 (1).xlsx > CRM (Empresas) | Canal original: Prospecção | Cidade: RIO VERDE | Contato pessoa: Rosane - Financeiro | Detalhes: Não demonstra interesse | Status 1: Apresentamos o Plano para Rosana, lider do Financeiro do Colégio, ela apresentou para Diretoria que está analisando a proposta.
